frase_original;frase_adaptada;semanticamente_similares
La novela, que había sido escrita por un autor premiado, contaba la historia de un personaje que se veía envuelto en situaciones complicadas que lo llevaban a cuestionar su propio destino que, al final, lo llevaba a un desenlace inesperado.;La novela había sido escrita por un autor premiado. La novela contaba la historia de un personaje que estaba envuelto en situaciones complicadas. Las situaciones complicadas llevaban al personaje a cuestionar su propio destino. Es destino, al final, llevaba al personaje a un final inesperado.;SI
Después de que terminó el partido, los jugadores se reunieron en el vestuario, donde celebraron su victoria, compartieron anécdotas de la temporada y planearon la estrategia para el próximo partido.;Cuando terminó el partido, los jugadores se reunieron en el vestuario, donde celebraron su victoria. Los jugadores compartieron anécdotas de la temporada y planearon la estrategia para el próximo partido.;SI
Toco tu boca, con un dedo toco el borde de tu boca, voy dibujándola como si saliera de mi mano, como si por primera vez tu boca se entreabriera, y me basta cerrar los ojos para deshacerlo todo y recomenzar, hago nacer cada vez la boca que deseo, la boca que mi mano elige y te dibuja en la cara, una boca elegida entre todas, con soberana libertad, elegida por mí para dibujarla con mi mano en tu cara, y que por un azar que no busco comprender coincide exactamente con tu boca que sonríe por debajo de la que mi mano te dibuja.;Toco el borde de tu boca con un dedo. Dibujo tu boca como si saliera de mi mano. Dibujo tu boca como si se abriera por primera vez. Cierro los ojos y deshago todo y comienzo otra vez. Hago nacer cada vez la boca que deseo. Hago nacer la boca que mi mano elige y te dibuja en la cara. He elegido la boca entre todas las bocas. La boca tiene soberana libertad. La boca se parece por azar con tu boca que sonríe por debajo de la boca que mi mano te dibuja.;SI
Su familia, sus amigos, sus compañeros de trabajo, pensaron que tan desmesurada necesidad se aplacaría con el tiempo, que su dependencia respondía a la ilusión de los primeros momentos, pero pasaron los días, las semanas, incluso varios meses, y ella seguía tan pendiente, tan incapaz de dar un paso sin su compañía que, en su propia casa, sus padres y sus hermanos comenzaron a hablar de obsesión.;Su familia, sus amigos, y sus compañeros de trabajo pensaron que esta gran necesidad por encontrar a su compañía se calmaría con el tiempo. Ellos pensaron que la dependencia de ella era por la ilusión de los primeros momentos. Pero pasaron los días, pasaron las semanas, incluso pasaron varios meses, y ella estaba pendiente de encontrar su compañía. Ella era incapaz de dar un paso sin su compañía. En su propia casa, sus padres y sus hermanos hablaban de obsesión.;SI
Y al fin vio lo que anhelaba: la mujer le saludó con un movimiento de la mano que apareció un instante a la altura de la boca sonriente, y entonces él siguió al coche, andando muy deprisa, yendo detrás por calles y plazas, sin perder de vista su caja bamboleante que se ocultaba al doblar una esquina y reaparecía al cruzar un puente.;Y al fin vio lo que quería, porque la mujer le saludó con un movimiento de la mano que apareció un instante a la altura de la boca sonriente. Entonces el estudiante siguió al coche. El estudiante andaba muy deprisa. El estudiante iba detrás por calles y plazas, sin perder de vista su caja bamboleante que se ocultaba al doblar una esquina y aparecía otra vez al cruzar un puente.;SI
Luego vuelvo a quererte, cuando nos acostamos y siento que estás hecha para mí, que de algún modo me lo dicen tu rodilla y tu vientre, que mis manos me convencen de ello, y que no hay otro lugar en donde yo me venga, a donde yo vaya, mejor que tu cuerpo.;Luego yo te quiero otra vez, cuando tú y yo nos acostamos  y yo siento que estás hecha para mí. Yo siento que de algún modo me lo dicen tu rodilla y tu vientre. Yo siento que mis manos me convencen de que estás hecha para mí, y yo siento que no hay otro lugar en donde yo me venga, a donde yo vaya, que sea mejor que tu cuerpo. ;SI
María cocinó la cena, la cual consistía en una lasaña casera, y la sirvió con una ensalada fresca y un vino tinto.;María cocinó la cena. La cena consistía en una lasaña casera. María sirvió la cena con una ensalada fresca y un vino tinto.;SI
El perro, que era muy juguetón, corría por el jardín, saltaba sobre las hojas caídas, y ladraba a los pájaros.;El perro era muy juguetón. El perro corría por el jardín. El perro saltaba sobre las hojas caídas. El perro ladraba a los pájaros.;SI
El profesor explicó la teoría, la cual era muy compleja, a través de ejemplos prácticos, y todos los alumnos la entendieron.;El profesor explicó la teoría. La teoría era muy compleja. El profesor explicó la teoría a través de ejemplos prácticos. Todos los alumnos entendieron la teoría.;SI
Juan y María fueron al cine, vieron una película de acción, y después cenaron en un restaurante italiano.;Juan y María fueron al cine. Juan y María vieron una película de acción. Después de la película, Juan y María cenaron en un restaurante italiano.;SI
La ciudad, que era muy antigua, tenía muchas calles estrechas y empedradas, las cuales estaban llenas de tiendas y restaurantes.;La ciudad era muy antigua. La ciudad tenía muchas calles estrechas y empedradas. Las calles estaban llenas de tiendas y restaurantes.;SI
El jardín estaba lleno de flores, las cuales desprendían un aroma delicioso, y los pájaros cantaban en los árboles.;El jardín estaba lleno de flores. Las flores desprendían un aroma delicioso. Los pájaros cantaban en los árboles del jardín.;SI
El niño subió a la montaña, desde donde se veía todo el valle, y se quedó allí hasta que se puso el sol.;El niño subió a la montaña. Desde la montaña se veía todo el valle. El niño se quedó en la montaña hasta que se puso el sol.;SI
El libro, que había sido escrito por un autor desconocido, se convirtió en un bestseller, y todo el mundo hablaba de él.;El libro había sido escrito por un autor desconocido. El libro se convirtió en un bestseller. Todo el mundo hablaba del libro.;SI
El coche, que era muy viejo, empezó a hacer un ruido extraño, y tuvieron que llamar a un mecánico.;El coche era muy viejo. El coche empezó a hacer un ruido extraño. Tuvieron que llamar a un mecánico;SI
Luego vuelvo a quererte, cuando nos acostamos y siento que estás hecha para mí, que de algún modo me lo dicen tu rodilla y tu vientre, que mis manos me convencen de ello, y que no hay otro lugar en donde yo me venga, a donde yo vaya, mejor que tu cuerpo.;Luego vuelvo a quererte, cuando nos acostamos y siento que estás hecha para mí, que de algún modo me lo dicen tus ojos y tus manos, que mi corazón me convence de ello, y que no hay otro lugar en donde yo me sienta, a donde yo vaya, mejor que a tu lado.;NO
María cocinó la cena, la cual consistía en una lasaña casera, y la sirvió con una ensalada fresca y un vino tinto.;María preparó la cena, la cual consistía en una lasaña casera, y la acompañó con una ensalada fresca y un vino blanco.;NO
El perro, que era muy juguetón, corría por el jardín, saltaba sobre las hojas caídas, y ladraba a los pájaros.;El gato, que era muy juguetón, corría por el jardín, saltaba sobre las hojas caídas, y perseguía a los pájaros.;NO
El profesor explicó la teoría, la cual era muy compleja, a través de ejemplos prácticos, y todos los alumnos la entendieron.;El profesor presentó la teoría, la cual era muy compleja, a través de ejemplos prácticos, y todos los alumnos la comprendieron.;NO
Juan y María fueron al cine, vieron una película de acción, y después cenaron en un restaurante italiano.;Juan y María fueron al teatro, vieron una obra de drama, y después cenaron en un restaurante chino.;NO
La ciudad, que era muy antigua, tenía muchas calles estrechas y empedradas, las cuales estaban llenas de tiendas y restaurantes.;La ciudad, que era muy moderna, tenía muchas avenidas amplias y asfaltadas, las cuales estaban llenas de tiendas y restaurantes.;NO
El jardín estaba lleno de flores, las cuales desprendían un aroma delicioso, y los pájaros cantaban en los árboles.;El parque estaba lleno de flores, las cuales desprendían un aroma delicioso, y los pájaros cantaban en los árboles.;NO
El niño subió a la colina, desde donde se veía todo el valle, y se quedó allí hasta que se puso el sol.;El niño escaló la montaña, desde donde se veía todo el valle, y se quedó allí hasta que se puso el sol.;NO
El libro, que había sido escrito por un autor desconocido, se convirtió en un bestseller, y todo el mundo hablaba de él.;El libro, que había sido escrito por un autor famoso, se convirtió en un bestseller, y todo el mundo hablaba de él.;NO
El coche, que era muy viejo, empezó a hacer un ruido extraño, y tuvieron que llamar a un mecánico.;El coche, que era muy nuevo, empezó a hacer un ruido extraño, y tuvieron que llamar a un mecánico.;NO
La OMS ha emitido una nueva guía de salud.;La Organización Mundial de la Salud ha emitido una nueva guía de salud.;SI
La OTAN celebró una reunión en Bruselas.;La Organización del Tratado del Atlántico Norte celebró una reunión en Bruselas.;SI
La OPEP acordó reducir la producción de petróleo.;La Organización de Países Exportadores de Petróleo acordó reducir la producción de petróleo.;SI
El FMI proporcionará un paquete de rescate.;El Fondo Monetario Internacional proporcionará un paquete de rescate.;SI
La OTAN celebró una reunión en Bruselas.;La Liga de Naciones celebró una reunión en Bruselas.;NO
El INE ha publicado los últimos datos de desempleo.;El Instituto Nacional de Estadística ha publicado los últimos datos de desempleo.;SI
La UCM ofrece una amplia gama de grados y posgrados.;La Universidad Complutense de Madrid ofrece una amplia gama de grados y posgrados.;SI
El CSIC lidera varios proyectos de investigación en España.;El Consejo Superior de Investigaciones Científicas lidera varios proyectos de investigación en España.;SI
La RAE ha aceptado nuevas palabras en el diccionario.;La Real Academia Española ha aceptado nuevas palabras en el diccionario.;SI
La CEOE ha emitido un comunicado respecto a la situación económica.;La Confederación Española de Organizaciones Empresariales ha emitido un comunicado respecto a la situación económica.;SI
La AEAT ha extendido el plazo para la presentación de impuestos.;La Agencia Estatal de Administración Tributaria ha extendido el plazo para la presentación de impuestos.;SI
El SEPE ha actualizado las cifras de paro.;El Servicio Público de Empleo Estatal ha actualizado las cifras de paro.;SI
La AEMET ha emitido una alerta de mal tiempo.;La Agencia Estatal de Meteorología ha emitido una alerta de mal tiempo.;SI
La UCM ofrece una amplia gama de grados y posgrados.;La Universidad Politécnica de Madrid ofrece una amplia gama de grados y posgrados.;NO
El CSIC lidera varios proyectos de investigación en España.;El Centro de Investigaciones Sociológicas lidera varios proyectos de investigación en España.;NO
La RAE ha aceptado nuevas palabras en el diccionario.;La Real Federación Española de Fútbol ha aceptado nuevas palabras en el diccionario.;NO
La AEAT ha extendido el plazo para la presentación de impuestos.;El Instituto Nacional de Administración Pública ha extendido el plazo para la presentación de impuestos.;NO
